Cluster,SubclusterName,end.year,five.year.job.change,Competitive.Effect,Expected.Change,Ind.Mix.Effect,Natl.Growth.Effect,start.jobs,end.jobs
Production Technology and Heavy Machinery,Industrial Machinery,NA,NA,NA,NA,NA,NA,NA,NA
Production Technology and Heavy Machinery,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",NA,NA,NA,NA,NA,NA,NA,NA
Production Technology and Heavy Machinery,Moving and Material Handling Equipment,NA,NA,NA,NA,NA,NA,NA,NA
Production Technology and Heavy Machinery,Process Equipment and Components,NA,NA,NA,NA,NA,NA,NA,NA
Recreational and Small Electric Goods,Electric Housewares,NA,NA,NA,NA,NA,NA,NA,NA
Recreational and Small Electric Goods,"Games, Toys, and Children's Vehicles",NA,NA,NA,NA,NA,NA,NA,NA
Recreational and Small Electric Goods,Motorcycles and Bicycles,NA,NA,NA,NA,NA,NA,NA,NA
Recreational and Small Electric Goods,Office Supplies,NA,NA,NA,NA,NA,NA,NA,NA
Recreational and Small Electric Goods,Recreational and Decorative Goods,NA,NA,NA,NA,NA,NA,NA,NA
Recreational and Small Electric Goods,Sporting and Athletic Goods,NA,NA,NA,NA,NA,NA,NA,NA
State Government Services,NA,NA,NA,NA,NA,NA,NA,NA,NA
Textile Manufacturing,Fabric Mills,NA,NA,NA,NA,NA,NA,NA,NA
Textile Manufacturing,Fibers,NA,NA,NA,NA,NA,NA,NA,NA
Textile Manufacturing,Household Textile Products,NA,NA,NA,NA,NA,NA,NA,NA
Textile Manufacturing,Knitting Mills,NA,NA,NA,NA,NA,NA,NA,NA
Textile Manufacturing,Other Textile Products,NA,NA,NA,NA,NA,NA,NA,NA
Textile Manufacturing,Textile and Fabric Finishing,NA,NA,NA,NA,NA,NA,NA,NA
Textile Manufacturing,Yarn and Thread Mills,NA,NA,NA,NA,NA,NA,NA,NA
Tobacco,Tobacco,NA,NA,NA,NA,NA,NA,NA,NA
"Trailers, Motor Homes, and Appliances",Burial Caskets,NA,NA,NA,NA,NA,NA,NA,NA
"Trailers, Motor Homes, and Appliances",Household Appliances,NA,NA,NA,NA,NA,NA,NA,NA
"Trailers, Motor Homes, and Appliances",Trailers and Motor Homes,NA,NA,NA,NA,NA,NA,NA,NA
Transportation and Logistics,Air Transportation,NA,NA,NA,NA,NA,NA,NA,NA
Transportation and Logistics,Bus Transportation,NA,NA,NA,NA,NA,NA,NA,NA
Transportation and Logistics,Ground Transportation Support Activities,NA,NA,NA,NA,NA,NA,NA,NA
Transportation and Logistics,Rail Transportation,NA,NA,NA,NA,NA,NA,NA,NA
Transportation and Logistics,Specialty Air Transportation,NA,NA,NA,NA,NA,NA,NA,NA
Transportation and Logistics,Trucking,NA,NA,NA,NA,NA,NA,NA,NA
Upstream Chemical Products,Agricultural Chemicals,NA,NA,NA,NA,NA,NA,NA,NA
Upstream Chemical Products,Industrial Gas,NA,NA,NA,NA,NA,NA,NA,NA
Upstream Chemical Products,Inorganic Chemicals,NA,NA,NA,NA,NA,NA,NA,NA
Upstream Chemical Products,Organic Chemicals,NA,NA,NA,NA,NA,NA,NA,NA
Upstream Metal Manufacturing,Iron and Steel Mills and Forging,NA,NA,NA,NA,NA,NA,NA,NA
Upstream Metal Manufacturing,Metal Processing (UMM),NA,NA,NA,NA,NA,NA,NA,NA
Upstream Metal Manufacturing,Metal Products (UMM),NA,NA,NA,NA,NA,NA,NA,NA
Upstream Metal Manufacturing,Wires and Springs,NA,NA,NA,NA,NA,NA,NA,NA
Video Production and Distribution,Video Production and Distribution,NA,NA,NA,NA,NA,NA,NA,NA
Vulcanized and Fired Materials,Clay Products and Refractories,NA,NA,NA,NA,NA,NA,NA,NA
Vulcanized and Fired Materials,Glass Products,NA,NA,NA,NA,NA,NA,NA,NA
Vulcanized and Fired Materials,Rubber Products,NA,NA,NA,NA,NA,NA,NA,NA
Water Transportation,Boat Building and Repairing,NA,NA,NA,NA,NA,NA,NA,NA
Water Transportation,Marine Transportation Services,NA,NA,NA,NA,NA,NA,NA,NA
Water Transportation,Water Passenger Transportation,NA,NA,NA,NA,NA,NA,NA,NA
Wood Products,Prefabricated Wood Building,NA,NA,NA,NA,NA,NA,NA,NA
Wood Products,Wood Components and Products,NA,NA,NA,NA,NA,NA,NA,NA
Wood Products,Wood Processing,NA,NA,NA,NA,NA,NA,NA,NA
