Cluster,SubclusterName,end.year,five.year.job.change,Competitive.Effect,Expected.Change,Ind.Mix.Effect,Natl.Growth.Effect,start.jobs,end.jobs
Downstream Chemical Products,"Dyes, Pigments and Coating",NA,NA,NA,NA,NA,NA,NA,NA
Downstream Chemical Products,Explosives,NA,NA,NA,NA,NA,NA,NA,NA
Downstream Chemical Products,Lubricating Oils and Greases,NA,NA,NA,NA,NA,NA,NA,NA
Downstream Chemical Products,Personal Care and Cleaning Products,NA,NA,NA,NA,NA,NA,NA,NA
Downstream Chemical Products,Processed Chemical Products,NA,NA,NA,NA,NA,NA,NA,NA
Downstream Metal Products,Ammunition,NA,NA,NA,NA,NA,NA,NA,NA
Downstream Metal Products,Fabricated Metal Structures,NA,NA,NA,NA,NA,NA,NA,NA
Downstream Metal Products,Metal Containers,NA,NA,NA,NA,NA,NA,NA,NA
Downstream Metal Products,Metal Products (DMP),NA,NA,NA,NA,NA,NA,NA,NA
Education and Knowledge Creation,"Colleges, Universities, and Professional Schools",NA,NA,NA,NA,NA,NA,NA,NA
Education and Knowledge Creation,Educational Support Services,NA,NA,NA,NA,NA,NA,NA,NA
Education and Knowledge Creation,Professional Organizations,NA,NA,NA,NA,NA,NA,NA,NA
Education and Knowledge Creation,Research and Development in Biotechnology (except Nanobiotechnology),NA,NA,NA,NA,NA,NA,NA,NA
Education and Knowledge Creation,Research and Development in Nanotechnology,NA,NA,NA,NA,NA,NA,NA,NA
Education and Knowledge Creation,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",NA,NA,NA,NA,NA,NA,NA,NA
Education and Knowledge Creation,Research Organizations,NA,NA,NA,NA,NA,NA,NA,NA
Education and Knowledge Creation,Training Programs,NA,NA,NA,NA,NA,NA,NA,NA
Electric Power Generation and Transmission,Alternative Electric Power,NA,NA,NA,NA,NA,NA,NA,NA
Electric Power Generation and Transmission,Electric Power Transmission,NA,NA,NA,NA,NA,NA,NA,NA
Electric Power Generation and Transmission,Fossil Fuel Electric Power,NA,NA,NA,NA,NA,NA,NA,NA
