Cluster,tract,LON,LAT,estabs,scaled_emp,nice_emp_bin
Downstream Metal Products,8123001201,-104.72589815409934,40.419198567594556,4,0.011091510474090408,20 to 50
Downstream Metal Products,8123000705,-104.64848242779952,40.43292622509518,3,0.01,20 to 50
Downstream Metal Products,8013013211,-105.07352614768618,40.02613242985241,3,0.01,20 to 50
Education and Knowledge Creation,8123001800,-104.76743933657283,40.17081734695349,4,0.014366041896361632,50 to 100
Education and Knowledge Creation,8123002009,-105.00935145869447,40.042835410421574,5,0.014366041896361632,50 to 100
Education and Knowledge Creation,8123001700,-104.74417259391045,40.32073959568487,5,0.013274531422271224,50 to 100
Education and Knowledge Creation,8123001003,-104.70564451924412,40.38601710917154,3,0.013274531422271224,50 to 100
Education and Knowledge Creation,8123002021,-104.94377573944219,40.13876047449698,5,0.013274531422271224,50 to 100
Education and Knowledge Creation,8123000705,-104.57277995960162,40.35774877075996,4,0.012183020948180816,50 to 100
Education and Knowledge Creation,8123002203,-104.90239135652298,40.447062918626834,5,0.012183020948180816,50 to 100
Education and Knowledge Creation,8123001300,-104.74827305830196,40.419943448586714,5,0.012183020948180816,50 to 100
Education and Knowledge Creation,8123001406,-104.79415605540713,40.39482661538415,4,0.012183020948180816,50 to 100
Education and Knowledge Creation,8123002103,-104.92156623698811,40.2768886211516,3,0.011091510474090408,20 to 50
Environmental Services,8123001417,-104.78330164557146,40.406490140182086,3,0.012183020948180816,50 to 100
Environmental Services,8123002019,-105.03154856935619,40.121707934998284,3,0.011091510474090408,20 to 50
Environmental Services,8123002501,-104.70392957994801,40.56100620638753,3,0.011091510474090408,20 to 50
Environmental Services,8123001003,-104.69864814728709,40.36001942058967,3,0.01,20 to 50
Financial Services,8123001700,-104.96338295840454,40.05890222362178,30,0.1475303197353914,"1,000 to 5,000"
Financial Services,8123001005,-104.74971941893043,40.40423443391793,12,0.07003307607497243,"500 to 1,000"
Financial Services,8123001500,-104.72014317049401,40.46838358534569,12,0.02637265711135612,100 to 250
Financial Services,8123000705,-104.62128235173108,40.44531366243529,7,0.014366041896361632,50 to 100
Financial Services,8123000800,-104.68962371994962,40.397562579734874,5,0.013274531422271224,50 to 100
Financial Services,8123002101,-104.84845999647332,40.35897116283744,4,0.012183020948180816,50 to 100
Financial Services,8123002208,-104.8974403286768,40.480428959085664,3,0.01,20 to 50
Food Processing and Manufacturing,8123000705,-104.60223362498273,40.393122190569855,5,0.031830209481808154,100 to 250
Food Processing and Manufacturing,8123001500,-104.66946169119527,40.565124214463495,7,0.02637265711135612,100 to 250
Food Processing and Manufacturing,8123002101,-104.83232678033578,40.3211207805304,6,0.01545755237045204,50 to 100
Food Processing and Manufacturing,8123002020,-104.97152024388366,40.11629947688975,4,0.013274531422271224,50 to 100
Food Processing and Manufacturing,8123001202,-104.7407069141929,40.41407146332718,5,0.012183020948180816,50 to 100
Food Processing and Manufacturing,8123001906,-104.7190223978371,40.07417773048911,4,0.012183020948180816,50 to 100
Food Processing and Manufacturing,8123002203,-104.88946269585539,40.49775941651473,3,0.01,20 to 50
Furniture,8123000600,-104.8020531595768,40.360181812038064,7,0.016549062844542446,50 to 100
Hospitality and Tourism,8123000705,-104.66798661849492,40.42146384630149,5,0.022006615214994488,100 to 250
Hospitality and Tourism,8123002005,-104.96119155273291,40.03214437662681,9,0.017640573318632856,100 to 250
Hospitality and Tourism,8069002501,-104.93798526306419,40.47905693905873,5,0.01545755237045204,50 to 100
Hospitality and Tourism,8123001417,-104.72295474555114,40.45209497205112,6,0.014366041896361632,50 to 100
Hospitality and Tourism,8123002208,-104.67852201716097,40.583219521217096,7,0.014366041896361632,50 to 100
Hospitality and Tourism,8123002209,-104.79277711030232,40.43371080842866,5,0.014366041896361632,50 to 100
Hospitality and Tourism,8123002103,-104.97188315106561,40.27871688353089,6,0.013274531422271224,50 to 100
Hospitality and Tourism,8123001003,-104.70470745668814,40.37163767390987,6,0.013274531422271224,50 to 100
Hospitality and Tourism,8013013402,-105.01409844901713,40.129276921121665,5,0.013274531422271224,50 to 100
Hospitality and Tourism,8123001404,-104.84598343272627,40.35851416894273,3,0.01,20 to 50
Hospitality and Tourism,8123002016,-104.84370054468874,40.09783664736802,3,0.01,20 to 50
Information Technology and Analytical Instruments,8123001003,-104.84763075240924,40.435814031502744,8,0.19337375964718856,"1,000 to 5,000"
Information Technology and Analytical Instruments,8123002103,-104.9359946755226,40.128350223830545,6,0.014366041896361632,50 to 100
Information Technology and Analytical Instruments,8123000705,-104.66255054753549,40.411527565445304,3,0.01,20 to 50
Insurance Services,8123001800,-104.73954797440294,40.37599491869651,13,0.05256890848952591,250 to 500
Insurance Services,8123002009,-105.01882720538923,40.05252079430678,3,0.01,20 to 50
Lighting and Electrical Equipment,8123001404,-104.95599358818669,40.18236612780774,4,0.017640573318632856,100 to 250
Livestock Processing,8123000800,-104.73312047162716,40.42596317950446,9,0.016549062844542446,50 to 100
Livestock Processing,8123002209,-104.85139688333862,40.26881914973255,3,0.01,20 to 50
Local Commercial Services,8123001405,-104.76350962536533,40.37283858745257,22,0.21083792723263506,"1,000 to 5,000"
Local Commercial Services,8123000705,-104.64881116002272,40.43177149860538,24,0.10932745314222712,"500 to 1,000"
Local Commercial Services,8123002203,-104.86420070592006,40.48800185111344,17,0.08968026460859976,"500 to 1,000"
Local Commercial Services,8123001500,-104.73571311692632,40.481384341682514,22,0.04383682469680265,250 to 500
Local Commercial Services,8123002101,-104.84558035271884,40.374329470610505,17,0.04056229327453142,250 to 500
Local Commercial Services,8123001700,-104.70641873388182,40.35042548808738,10,0.038379272326350605,250 to 500
Local Commercial Services,8123001410,-104.74763614979547,40.401951719301415,8,0.03401323042998897,250 to 500
Local Commercial Services,8123002209,-104.86788885398181,40.43892377121807,16,0.02964718853362734,100 to 250
Local Commercial Services,8123000402,-104.70314473806013,40.410515911525394,7,0.02746416758544653,100 to 250
Local Commercial Services,8123002103,-105.00275954484728,40.224606185479416,16,0.02637265711135612,100 to 250
Local Commercial Services,8123002009,-105.01193130256927,40.06209820203184,10,0.023098125689084897,100 to 250
Local Commercial Services,8123002501,-104.46184158348696,40.766802710507854,10,0.022006615214994488,100 to 250
Local Commercial Services,8123001600,-104.60770836857634,40.370950940974254,4,0.020915104740904078,100 to 250
Local Commercial Services,8123002207,-104.93177826514388,40.505208518018684,10,0.020915104740904078,100 to 250
Local Commercial Services,8123001416,-104.7655722347449,40.44425267940268,8,0.019823594266813672,100 to 250
Local Commercial Services,8123001005,-104.71395285663303,40.37170681089327,10,0.018732083792723266,100 to 250
Local Commercial Services,8123001411,-104.77231605027522,40.4148918891307,5,0.018732083792723266,100 to 250
Local Commercial Services,8123001907,-104.77156699470035,40.07098026880187,5,0.018732083792723266,100 to 250
Local Commercial Services,8013012800,-105.07898458057542,40.0488495658925,6,0.017640573318632856,100 to 250
Local Commercial Services,8123001906,-104.79578562425814,40.11391033131341,6,0.017640573318632856,100 to 250
Local Commercial Services,8123001908,-104.83852801953829,40.09954743443106,4,0.017640573318632856,100 to 250
Local Commercial Services,8123001902,-104.73707294776251,40.093132098145645,5,0.016549062844542446,50 to 100
Local Commercial Services,8123002010,-105.01965659534848,40.12207337408546,7,0.01545755237045204,50 to 100
Local Commercial Services,8123002300,-104.73933873936858,40.586249947789476,4,0.01545755237045204,50 to 100
Local Commercial Services,8123000501,-104.71797165177355,40.43271510273037,7,0.01545755237045204,50 to 100
Local Commercial Services,8123000600,-104.7019841237781,40.44808453624283,3,0.014366041896361632,50 to 100
